# command:    /groups/eddy/home/nawrockie/1.0-branch-infernal/src/mpi-cluster-execs/cmsearch --tabfile s5v.5g.tab 5.cm 5genomes.fa
# date:       Sun Aug 23 21:02:52 2009
# num seqs:   6
# dbsize(Mb): 29.988372
#
# Pre-search info for CM 1: 5_8S_rRNA
#
#                                  cutoffs            predictions     
#                            -------------------  --------------------
# rnd  mod  alg  cfg   beta     E value   bit sc     surv     run time
# ---  ---  ---  ---  -----  ----------  -------  -------  -----------
#   1  hmm  fwd  loc      -    2719.607     6.00   0.0200  00:10:01.73
#   2   cm  cyk  loc  1e-10     100.000     5.47   0.0007  00:05:31.10
#   3   cm  ins  loc  1e-15       1.000    14.30  4.9e-06  00:00:57.08
# ---  ---  ---  ---  -----  ----------  -------  -------  -----------
# all    -    -    -      -           -        -        -  00:16:29.92
#
#
# CM: 5_8S_rRNA
#                                         target coord   query coord                         
#                               ----------------------  ------------                         
# target name                        start        stop  start   stop    bit sc   E-value  GC%
# ----------------------------  ----------  ----------  -----  -----  --------  --------  ---
  gi|71143482|gb|CP000083.1|        562641      562794      1    154     34.01  1.99e-06   45
  gi|71143482|gb|CP000083.1|        556800      556953      1    154     34.01  1.99e-06   45
  gi|71143482|gb|CP000083.1|        358941      359094      1    154     34.01  1.99e-06   45
  gi|71143482|gb|CP000083.1|        353090      353243      1    154     34.01  1.99e-06   45
  gi|71143482|gb|CP000083.1|         52337       52490      1    154     34.01  1.99e-06   45
  gi|71143482|gb|CP000083.1|         46493       46646      1    154     34.01  1.99e-06   45
  gi|71143482|gb|CP000083.1|         37089       37242      1    154     34.01  1.99e-06   45
  gi|71143482|gb|CP000083.1|       1658620     1658773      1    154     33.65  2.54e-06   45
  gi|71143482|gb|CP000083.1|       4077896     4077743      1    154     34.01  1.99e-06   45
  gi|20806542|ref|NC_003869.1|       85444       85598      1    154     29.13  5.13e-05   62
  gi|20806542|ref|NC_003869.1|       55480       55635      1    154     27.93  1.14e-04   62
  gi|20806542|ref|NC_003869.1|     1488323     1488169      1    154     39.03  7.03e-08   64
  gi|20806542|ref|NC_003869.1|     2154805     2154651      1    154     34.76  1.21e-06   63
  AE003852                          764754      764905      1    154     44.24  2.20e-09   49
  AE003852                          403811      403962      1    154     44.24  2.20e-09   49
  AE003852                          326205      326356      1    154     44.24  2.20e-09   49
  AE003852                           55796       55947      1    154     44.24  2.20e-09   49
  AE003852                          153038      153189      1    154     43.97  2.62e-09   49
  AE003852                         2679360     2679209      1    154     44.24  2.20e-09   49
  AE003852                         2931019     2930868      1    154     44.24  2.20e-09   49
  AE003852                         2936766     2936615      1    154     44.24  2.20e-09   49
  AE003852                         1246064     1245901      1    154     16.11  3.01e-01   52
  H.pylori_genome                   445349      445504      1    154     36.66  3.41e-07   47
  H.pylori_genome                  1476793     1476638      1    154     36.66  3.41e-07   47
#
# Post-search info for CM 1: 5_8S_rRNA
#
#                              number of hits       surv fraction  
#                            -------------------  -----------------
# rnd  mod  alg  cfg   beta    expected   actual  expected   actual
# ---  ---  ---  ---  -----  ----------  -------  --------  -------
#   1  hmm  fwd  loc      -    2719.607      780    0.0200   0.0071
#   2   cm  cyk  loc  1e-10     100.000       52    0.0007   0.0004
#   3   cm  ins  loc  1e-15       1.000       24   4.9e-06   0.0001
#
# expected time    actual time
# -------------  -------------
#   00:16:29.92    00:12:26.00
#
# Pre-search info for CM 2: tRNA
#
#                                  cutoffs            predictions     
#                            -------------------  --------------------
# rnd  mod  alg  cfg   beta     E value   bit sc     surv     run time
# ---  ---  ---  ---  -----  ----------  -------  -------  -----------
#   1   cm  cyk  loc  1e-10    2585.417     5.02   0.0258  02:44:30.45
#   2   cm  ins  loc  1e-15       1.000    19.18  2.3e-06  00:27:12.95
# ---  ---  ---  ---  -----  ----------  -------  -------  -----------
# all    -    -    -      -           -        -        -  03:11:43.41
#
#
# CM: tRNA
#                                         target coord   query coord                         
#                               ----------------------  ------------                         
# target name                        start        stop  start   stop    bit sc   E-value  GC%
# ----------------------------  ----------  ----------  -----  -----  --------  --------  ---
  gi|71143482|gb|CP000083.1|       1783817     1783889      1     71     69.75  9.35e-15   49
  gi|71143482|gb|CP000083.1|       1783574     1783646      1     71     69.75  9.35e-15   49
  gi|71143482|gb|CP000083.1|       1783465     1783537      1     71     69.75  9.35e-15   49
  gi|71143482|gb|CP000083.1|       1783296     1783368      1     71     69.75  9.35e-15   49
  gi|71143482|gb|CP000083.1|       1783184     1783256      1     71     69.75  9.35e-15   49
  gi|71143482|gb|CP000083.1|       1782999     1783071      1     71     69.75  9.35e-15   49
  gi|71143482|gb|CP000083.1|       4364281     4364353      1     71     69.64  1.00e-14   53
  gi|71143482|gb|CP000083.1|       4364104     4364176      1     71     67.73  3.39e-14   56
  gi|71143482|gb|CP000083.1|       1658065     1658138      1     71     67.47  3.99e-14   57
  gi|71143482|gb|CP000083.1|         36547       36620      1     71     67.47  3.99e-14   57
  gi|71143482|gb|CP000083.1|       3025340     3025412      1     71     66.32  8.35e-14   52
  gi|71143482|gb|CP000083.1|       3025224     3025296      1     71     66.32  8.35e-14   52
  gi|71143482|gb|CP000083.1|       3025108     3025180      1     71     66.32  8.35e-14   52
  gi|71143482|gb|CP000083.1|       3024992     3025064      1     71     66.32  8.35e-14   52
  gi|71143482|gb|CP000083.1|       4912381     4912453      1     71     65.45  1.46e-13   55
  gi|71143482|gb|CP000083.1|       1072747     1072820      1     71     65.43  1.47e-13   64
  gi|71143482|gb|CP000083.1|       3700464     3700537      1     71     65.10  1.82e-13   53
  gi|71143482|gb|CP000083.1|       3699650     3699723      1     71     65.10  1.82e-13   53
  gi|71143482|gb|CP000083.1|       2356703     2356776      1     71     64.79  2.22e-13   64
  gi|71143482|gb|CP000083.1|       2356508     2356581      1     71     64.79  2.22e-13   64
  gi|71143482|gb|CP000083.1|       2356364     2356437      1     71     64.79  2.22e-13   64
  gi|71143482|gb|CP000083.1|       2356220     2356293      1     71     64.79  2.22e-13   64
  gi|71143482|gb|CP000083.1|       2356076     2356149      1     71     64.79  2.22e-13   64
  gi|71143482|gb|CP000083.1|       1072968     1073041      1     71     64.26  3.11e-13   66
  gi|71143482|gb|CP000083.1|       1072605     1072678      1     71     64.26  3.11e-13   66
  gi|71143482|gb|CP000083.1|       3700167     3700238      1     71     63.36  5.53e-13   50
  gi|71143482|gb|CP000083.1|       3700029     3700100      1     71     63.36  5.53e-13   50
  gi|71143482|gb|CP000083.1|        562120      562192      1     71     62.13  1.22e-12   62
  gi|71143482|gb|CP000083.1|        556276      556348      1     71     62.13  1.22e-12   62
  gi|71143482|gb|CP000083.1|        358417      358489      1     71     62.13  1.22e-12   62
  gi|71143482|gb|CP000083.1|        352566      352638      1     71     62.13  1.22e-12   62
  gi|71143482|gb|CP000083.1|         51813       51885      1     71     62.13  1.22e-12   62
  gi|71143482|gb|CP000083.1|         45969       46041      1     71     62.13  1.22e-12   62
  gi|71143482|gb|CP000083.1|       4913971     4914044      1     71     59.91  5.00e-12   55
  gi|71143482|gb|CP000083.1|       4912504     4912577      1     71     59.91  5.00e-12   55
  gi|71143482|gb|CP000083.1|       3050462     3050535      1     71     59.86  5.19e-12   53
  gi|71143482|gb|CP000083.1|       2448124     2448211      1     71     57.12  2.98e-11   51
  gi|71143482|gb|CP000083.1|       2447928     2448015      1     71     57.12  2.98e-11   51
  gi|71143482|gb|CP000083.1|       3412238     3412311      1     71     55.80  6.93e-11   61
  gi|71143482|gb|CP000083.1|       3412027     3412100      1     71     55.80  6.93e-11   61
  gi|71143482|gb|CP000083.1|       3411841     3411914      1     71     55.80  6.93e-11   61
  gi|71143482|gb|CP000083.1|       3411653     3411726      1     71     55.80  6.93e-11   61
  gi|71143482|gb|CP000083.1|       3411266     3411339      1     71     55.80  6.93e-11   61
  gi|71143482|gb|CP000083.1|       3411131     3411204      1     71     55.80  6.93e-11   61
  gi|71143482|gb|CP000083.1|       1785624     1785710      1     71     52.94  4.30e-10   57
  gi|71143482|gb|CP000083.1|       1072433     1072521      1     71     51.00  1.48e-09   60
  gi|71143482|gb|CP000083.1|         40608       40689      1     71     50.57  1.95e-09   59
  gi|71143482|gb|CP000083.1|        752180      752261      1     71     50.33  2.28e-09   54
  gi|71143482|gb|CP000083.1|       3700294     3700375      1     71     47.35  1.53e-08   52
  gi|71143482|gb|CP000083.1|       3699902     3699983      1     71     47.35  1.53e-08   52
  gi|71143482|gb|CP000083.1|       3306637     3306708      1     71     22.44  1.25e-01   33
  gi|71143482|gb|CP000083.1|        375162      375229      1     71     21.95  1.71e-01   37
  gi|71143482|gb|CP000083.1|       5066340     5066268      1     71     69.64  1.00e-14   53
  gi|71143482|gb|CP000083.1|       3953408     3953335      1     71     69.28  1.26e-14   59
  gi|71143482|gb|CP000083.1|       5065968     5065896      1     71     69.13  1.39e-14   55
  gi|71143482|gb|CP000083.1|       4355573     4355501      1     71     67.73  3.39e-14   56
  gi|71143482|gb|CP000083.1|       5066058     5065988      1     71     66.96  5.54e-14   56
  gi|71143482|gb|CP000083.1|       3397961     3397889      1     71     66.77  6.28e-14   56
  gi|71143482|gb|CP000083.1|       3398234     3398162      1     71     66.77  6.28e-14   56
  gi|71143482|gb|CP000083.1|       3398379     3398307      1     71     66.77  6.28e-14   56
  gi|71143482|gb|CP000083.1|       3398727     3398655      1     71     66.77  6.28e-14   56
  gi|71143482|gb|CP000083.1|       3953300     3953228      1     71     65.45  1.46e-13   55
  gi|71143482|gb|CP000083.1|       3350987     3350915      1     71     64.97  1.98e-13   59
  gi|71143482|gb|CP000083.1|       3351094     3351022      1     71     64.97  1.98e-13   59
  gi|71143482|gb|CP000083.1|       3351277     3351205      1     71     64.97  1.98e-13   59
  gi|71143482|gb|CP000083.1|       3351460     3351388      1     71     64.97  1.98e-13   59
  gi|71143482|gb|CP000083.1|       3351644     3351572      1     71     64.97  1.98e-13   59
  gi|71143482|gb|CP000083.1|       3351824     3351752      1     71     64.97  1.98e-13   59
  gi|71143482|gb|CP000083.1|       4565804     4565731      1     71     64.82  2.18e-13   55
  gi|71143482|gb|CP000083.1|       5356537     5356464      1     71     62.91  7.39e-13   62
  gi|71143482|gb|CP000083.1|       4078437     4078365      1     71     62.13  1.22e-12   62
  gi|71143482|gb|CP000083.1|       3953175     3953102      1     71     59.91  5.00e-12   55
  gi|71143482|gb|CP000083.1|       3953529     3953456      1     71     59.91  5.00e-12   55
  gi|71143482|gb|CP000083.1|       2962930     2962858      1     71     58.73  1.07e-11   59
  gi|71143482|gb|CP000083.1|       2963218     2963146      1     71     58.73  1.07e-11   59
  gi|71143482|gb|CP000083.1|       2963385     2963313      1     71     58.73  1.07e-11   59
  gi|71143482|gb|CP000083.1|       2963551     2963479      1     71     58.73  1.07e-11   59
  gi|71143482|gb|CP000083.1|       2963717     2963645      1     71     58.73  1.07e-11   59
  gi|71143482|gb|CP000083.1|       2964005     2963933      1     71     58.73  1.07e-11   59
  gi|71143482|gb|CP000083.1|       2964184     2964112      1     71     57.22  2.79e-11   63
  gi|71143482|gb|CP000083.1|       2822264     2822177      1     71     57.12  2.98e-11   51
  gi|71143482|gb|CP000083.1|       3398587     3398517      1     71     56.88  3.48e-11   55
  gi|71143482|gb|CP000083.1|       1139363     1139290      1     71     55.97  6.21e-11   54
  gi|71143482|gb|CP000083.1|       5064160     5064087      1     71     55.97  6.21e-11   54
  gi|71143482|gb|CP000083.1|       2712064     2711991      1     71     52.47  5.79e-10   65
  gi|71143482|gb|CP000083.1|       5066204     5066123      1     71     50.57  1.95e-09   59
  gi|71143482|gb|CP000083.1|       3397752     3397671      1     71     50.07  2.69e-09   57
  gi|71143482|gb|CP000083.1|       3398085     3398004      1     71     50.07  2.69e-09   57
  gi|71143482|gb|CP000083.1|       3398507     3398426      1     71     50.07  2.69e-09   57
  gi|71143482|gb|CP000083.1|       3582546     3582465      1     71     48.84  5.89e-09   62
  gi|71143482|gb|CP000083.1|       5345688     5345605      1     71     21.45  2.35e-01   36
  gi|71143482|gb|CP000083.1|        345220      345147      1     71     19.79  6.75e-01   35
  gi|20806542|ref|NC_003869.1|       58582       58653      1     71     71.62  2.84e-15   53
  gi|20806542|ref|NC_003869.1|       58782       58853      1     71     71.43  3.20e-15   61
  gi|20806542|ref|NC_003869.1|      499335      499407      1     71     69.12  1.39e-14   59
  gi|20806542|ref|NC_003869.1|     1932823     1932895      1     71     68.53  2.04e-14   63
  gi|20806542|ref|NC_003869.1|     1521836     1521908      1     71     64.28  3.07e-13   59
  gi|20806542|ref|NC_003869.1|      582044      582117      1     71     64.01  3.65e-13   61
  gi|20806542|ref|NC_003869.1|      989990      990062      1     71     63.41  5.35e-13   60
  gi|20806542|ref|NC_003869.1|       36376       36449      1     71     63.17  6.26e-13   64
  gi|20806542|ref|NC_003869.1|      499255      499327      1     71     61.26  2.12e-12   66
  gi|20806542|ref|NC_003869.1|     2324476     2324549      1     71     59.23  7.73e-12   66
  gi|20806542|ref|NC_003869.1|       46025       46112      1     71     58.15  1.54e-11   58
  gi|20806542|ref|NC_003869.1|     2324558     2324631      1     71     56.95  3.32e-11   62
  gi|20806542|ref|NC_003869.1|      784901      784972      1     71     56.67  3.97e-11   69
  gi|20806542|ref|NC_003869.1|       30157       30242      1     71     56.53  4.33e-11   62
  gi|20806542|ref|NC_003869.1|     1568952     1569024      1     71     56.36  4.85e-11   67
  gi|20806542|ref|NC_003869.1|       46129       46219      1     71     55.49  8.42e-11   56
  gi|20806542|ref|NC_003869.1|       30258       30349      1     71     54.41  1.68e-10   61
  gi|20806542|ref|NC_003869.1|      499432      499514      1     71     53.53  2.96e-10   55
  gi|20806542|ref|NC_003869.1|     2324382     2324468      1     71     51.87  8.51e-10   61
  gi|20806542|ref|NC_003869.1|     1033384     1033469      1     71     50.40  2.18e-09   65
  gi|20806542|ref|NC_003869.1|      627401      627482      1     71     48.90  5.70e-09   63
  gi|20806542|ref|NC_003869.1|      889221      889303      1     71     42.51  3.36e-07   66
  gi|20806542|ref|NC_003869.1|     1814197     1814286      1     71     24.34  3.71e-02   52
  gi|20806542|ref|NC_003869.1|     2154951     2154878      1     71     74.49  4.53e-16   54
  gi|20806542|ref|NC_003869.1|      627202      627132      1     71     72.15  2.01e-15   61
  gi|20806542|ref|NC_003869.1|     2592882     2592810      1     71     72.03  2.17e-15   52
  gi|20806542|ref|NC_003869.1|     2151787     2151716      1     71     71.62  2.84e-15   53
  gi|20806542|ref|NC_003869.1|     1701516     1701445      1     71     70.99  4.24e-15   56
  gi|20806542|ref|NC_003869.1|     2151433     2151361      1     71     70.19  7.06e-15   52
  gi|20806542|ref|NC_003869.1|     1682851     1682779      1     71     70.18  7.09e-15   55
  gi|20806542|ref|NC_003869.1|     1696339     1696266      1     71     69.42  1.15e-14   55
  gi|20806542|ref|NC_003869.1|     2151343     2151272      1     71     69.31  1.24e-14   58
  gi|20806542|ref|NC_003869.1|     1683009     1682937      1     71     69.02  1.49e-14   58
  gi|20806542|ref|NC_003869.1|     1692147     1692074      1     71     68.78  1.73e-14   61
  gi|20806542|ref|NC_003869.1|      627124      627051      1     71     67.88  3.08e-14   59
  gi|20806542|ref|NC_003869.1|     2151519     2151446      1     71     67.86  3.13e-14   59
  gi|20806542|ref|NC_003869.1|      626956      626885      1     71     67.40  4.19e-14   57
  gi|20806542|ref|NC_003869.1|     2287790     2287719      1     71     67.31  4.45e-14   64
  gi|20806542|ref|NC_003869.1|     2132422     2132350      1     71     67.05  5.23e-14   58
  gi|20806542|ref|NC_003869.1|      626570      626498      1     71     66.75  6.35e-14   59
  gi|20806542|ref|NC_003869.1|     1632154     1632082      1     71     66.61  6.93e-14   62
  gi|20806542|ref|NC_003869.1|     2155028     2154956      1     71     66.54  7.26e-14   59
  gi|20806542|ref|NC_003869.1|     2151701     2151630      1     71     66.03  1.01e-13   61
